asset,item_id,name,type,tier,dims_m,tris_lod0_or_1p,tris_3p,textures,status,owner,notes
SM_RES_CobaltOre,cobalt_ore,Cobalt Ore,Ore,T1,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Deep-blue veined rock.
SM_RES_TitaniumOre,titanium_ore,Titanium Ore,Ore,T2,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Pale grey metallic rock.
SM_RES_SilverOre,silver_ore,Silver Ore,Ore,T2,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Bright-flecked rock.
SM_RES_GoldOre,gold_ore,Gold Ore,Ore,T2,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Gold-flecked quartz.
SM_RES_MagnesiumOre,magnesium_ore,Magnesium Ore,Ore,T2,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,White chalky rock.
SM_RES_UraniumOre,uranium_ore,Uranium Ore,Ore,T2,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Dark rock with a faint green glow.
SM_RES_PlatinumOre,platinum_ore,Platinum Ore,Ore,T3,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Heavy silver-white nugget.
SM_RES_Ice,ice,Ice,Ore,T0,0.30x0.30x0.30,150,,512 / prop atlas,Greybox built,,Translucent blue chunk (refraction material).
SM_RES_Stone,stone,Stone,Ore,T0,0.30x0.30x0.30,150,,512 / prop atlas,Greybox built,,Grey gravel chunk.
SM_RES_Organics,organics,Organics,Resource,T0,0.30x0.20x0.30,200,,512 / prop atlas,Greybox built,,Bundle of plant matter.
SM_RES_BloomSample,bloom_sample,Bloom Sample,Resource,T1,0.15x0.20x0.15,250,,512 / prop atlas,Greybox built,,Sealed specimen jar with green growth (pulsing emissive). Handling without gloves adds infection.
SM_RES_ResonanceCrystal,resonance_crystal,Resonance Crystal,Resource,T3,0.20x0.35x0.20,300,,512 / prop atlas,Greybox built,,Teal crystal with inner glyph light.
SM_RES_He3Canister,he3_canister,He-3 Canister,Fuel,T3,0.30x0.50x0.30,400,,512 / prop atlas,Greybox built,,Insulated canister with a magenta band.
SM_RES_UraniumFuelRod,uranium_rod,Uranium Fuel Rod,Fuel,T2,0.10x1.00x0.10,150,,512 / prop atlas,Greybox built,,Sealed rod with a hazard band.
SM_RES_FuelCanister,diesel_canister,Fuel Canister,Fuel,T0,0.30x0.45x0.15,300,,512 / prop atlas,Greybox built,,Red jerrycan.
SM_RES_IronIngot,iron_ingot,Iron Ingot,Ingot,T0,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Stamped ingot.
SM_RES_NickelIngot,nickel_ingot,Nickel Ingot,Ingot,T1,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Stamped ingot.
SM_RES_SiliconWafer,silicon_wafer,Silicon Wafer,Ingot,T1,0.20x0.01x0.20,60,,512 / prop atlas,Greybox built,,Round wafer.
SM_RES_CobaltIngot,cobalt_ingot,Cobalt Ingot,Ingot,T1,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Blue-tinted ingot.
SM_RES_TitaniumIngot,titanium_ingot,Titanium Ingot,Ingot,T2,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Matte ingot.
SM_RES_SilverIngot,silver_ingot,Silver Ingot,Ingot,T2,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Bright ingot.
SM_RES_GoldIngot,gold_ingot,Gold Ingot,Ingot,T2,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,Gold ingot.
SM_RES_PlatinumIngot,platinum_ingot,Platinum Ingot,Ingot,T3,0.30x0.08x0.10,60,,512 / prop atlas,Greybox built,,White-silver ingot.
SM_RES_MagnesiumPowder,magnesium_powder,Magnesium Powder,Ingot,T2,0.20x0.15x0.20,120,,512 / prop atlas,Greybox built,,Sealed powder pouch.
SK_EQP_Multitool_1P + SM_EQP_Multitool_3P,multitool,Multitool,Tool,T0,0.45x0.25x0.12,35000,8000,2K set,Greybox built,,"The player's signature object: visible 95% of play. Four tier variants (Mk1–Mk4) share the skeleton; each tier adds parts (heat sinks, lens rings). Wear decals accumulate with play time."
SK_EQP_HandDrill_1P + SM_EQP_HandDrill_3P,hand_drill,Hand Drill,Tool,T1,0.60x0.30x0.20,25000,6000,2K set,Greybox built,,Chunky two-handed drill; the bit has 4 upgrade variants.
SK_EQP_Harvester_1P + SM_EQP_Harvester_3P,harvester,Harvester,Tool,T1,0.50x0.20x0.12,18000,5000,2K set,Greybox built,,Sample canister on the side fills visibly (Bloom samples glow green).
SK_EQP_Binoculars_1P + SM_EQP_Binoculars_3P,binoculars,Binoculars,Tool,T0,0.18x0.08x0.14,8000,2000,2K set,Greybox built,,Open-world scouting tool: tag points of interest from distance. Scratched lenses (overlay when looking through).
SK_EQP_AdasWrench_1P + SM_EQP_AdasWrench_3P,adas_wrench,Ada's Wrench,Melee,T0,0.45x0.04x0.10,6000,1500,1K set,Greybox built,,Story item; never breaks. Engraving on the handle: 'For the kid who fixes everything.' The engraving must be legible in the inspect animation.
SK_EQP_FireAxe_1P + SM_EQP_FireAxe_3P,fire_axe,Fire Axe,Melee,T0,0.90x0.05x0.30,6000,1500,1K set,Greybox built,,Red head with chipped paint; blood/Bloom grime overlay.
SK_EQP_Crowbar_1P + SM_EQP_Crowbar_3P,crowbar,Crowbar,Melee,T0,0.75x0.03x0.08,4000,1000,1K set,Greybox built,,
SK_EQP_RiotBaton_1P + SM_EQP_RiotBaton_3P,riot_baton,Riot Baton,Melee,T1,0.60x0.04x0.04,5000,1200,1K set,Greybox built,,Directorate issue; non-lethal option vs humans.
SK_EQP_SowerBlade_1P + SM_EQP_SowerBlade_3P,sower_blade,Sower Blade,Melee,T4,0.90x0.03x0.12,15000,3000,2K set,Greybox built,,Grown blade of shell and crystal; the grip adapts to the hand (subtle shape key).
SK_EQP_NailGunRifle_1P + SM_EQP_NailGunRifle_3P,nailgun_rifle,Nail-Gun Rifle,Improvised,T0,0.80x0.25x0.08,28000,6000,2K set,Greybox built,,Framing nailer bolted to a rifle stock and an air canister; duct-taped grip.
SK_EQP_FlareGun_1P + SM_EQP_FlareGun_3P,flare_gun,Flare Gun,Improvised,T0,0.25x0.15x0.05,12000,2500,2K set,Greybox built,,Orange marine flare pistol.
SK_EQP_PipeShotgun_1P + SM_EQP_PipeShotgun_3P,pipe_shotgun,Pipe Shotgun,Improvised,T0,0.70x0.15x0.06,18000,4000,2K set,Greybox built,,"Plumbing pipe, hinge and a wood stock."
SK_EQP_RivetLauncher_1P + SM_EQP_RivetLauncher_3P,rivet_launcher,Rivet Launcher,Improvised,T1,0.90x0.25x0.10,30000,6500,2K set,Greybox built,,Industrial riveter turned rifle.
SK_EQP_Pistol_1P + SM_EQP_Pistol_3P,pistol,Pistol,Firearm,T1,0.20x0.14x0.04,25000,5000,2K set,Greybox built,,
SK_EQP_SMG_1P + SM_EQP_SMG_3P,smg,SMG,Firearm,T1,0.50x0.20x0.05,30000,6000,2K set,Greybox built,,
SK_EQP_AssaultRifle_1P + SM_EQP_AssaultRifle_3P,assault_rifle,Assault Rifle,Firearm,T2,0.90x0.25x0.06,35000,7000,2K set,Greybox built,,"Civilian and Directorate (white-gold, DIR) variants share the skeleton."
SK_EQP_PumpShotgun_1P + SM_EQP_PumpShotgun_3P,pump_shotgun,Pump Shotgun,Firearm,T1,1.00x0.20x0.06,30000,6000,2K set,Greybox built,,
SK_EQP_MarksmanRifle_1P + SM_EQP_MarksmanRifle_3P,marksman_rifle,Marksman Rifle,Firearm,T2,1.15x0.25x0.07,38000,7000,2K set,Greybox built,,Picture-in-picture scope render target.
SK_EQP_Flamethrower_1P + SM_EQP_Flamethrower_3P,flamethrower,Flamethrower,Heavy,T2,1.00x0.30x0.15,35000,7000,2K set,Greybox built,,Back-tank is part of the 3P character attachment (SK_ back slot).
SK_EQP_GrenadeLauncher_1P + SM_EQP_GrenadeLauncher_3P,grenade_launcher,Grenade Launcher,Heavy,T2,0.80x0.25x0.12,32000,6500,2K set,Greybox built,,
SK_EQP_RocketLauncher_1P + SM_EQP_RocketLauncher_3P,rocket_launcher,Rocket Launcher,Heavy,T3,1.20x0.30x0.15,30000,6000,2K set,Greybox built,,
SK_EQP_ArcRifle_1P + SM_EQP_ArcRifle_3P,arc_rifle,Arc Rifle,Energy,T3,0.90x0.25x0.10,38000,7500,2K set,Greybox built,,
SK_EQP_CoilGun_1P + SM_EQP_CoilGun_3P,coil_gun,Coil Gun,Energy,T3,1.10x0.20x0.08,36000,7000,2K set,Greybox built,,
SK_EQP_LaserCutter_1P + SM_EQP_LaserCutter_3P,laser_cutter,Laser Cutter,Energy,T3,0.70x0.20x0.10,30000,6000,2K set,Greybox built,,
SK_EQP_ResonanceLance_1P + SM_EQP_ResonanceLance_3P,resonance_lance,Resonance Lance,Sower,T4,1.30x0.20x0.12,40000,8000,2K set,Greybox built,,
SK_EQP_SeedSpitter_1P + SM_EQP_SeedSpitter_3P,seed_spitter,Seed-Spitter,Sower,T4,0.80x0.25x0.12,36000,7000,2K set,Greybox built,,
SK_EQP_NoiseMaker_1P + SM_EQP_NoiseMaker_3P,noise_maker,Noise Maker,Throwable,T0,0.10x0.10x0.10,3000,800,512 set,Greybox built,,Wind-up alarm clock taped to a can.
SK_EQP_FragGrenade_1P + SM_EQP_FragGrenade_3P,frag_grenade,Frag Grenade,Throwable,T1,0.07x0.11x0.07,3000,800,512 set,Greybox built,,
SK_EQP_Molotov_1P + SM_EQP_Molotov_3P,molotov,Molotov,Throwable,T0,0.08x0.30x0.08,3000,800,512 set,Greybox built,,
SK_EQP_EMPGrenade_1P + SM_EQP_EMPGrenade_3P,emp_grenade,EMP Grenade,Throwable,T2,0.08x0.10x0.08,3500,900,512 set,Greybox built,,
SK_EQP_SporeBomb_1P + SM_EQP_SporeBomb_3P,spore_bomb,Spore Bomb,Throwable,T2,0.10x0.12x0.10,4000,900,512 set,Greybox built,,Choir-made: a stitched cloth pouch around a glass bulb.
SK_EQP_Bandage_1P + SM_EQP_Bandage_3P,bandage,Bandage,Consumable,T0,0.08x0.05x0.08,2000,400,512 set,Greybox built,,
SK_EQP_Medkit_1P + SM_EQP_Medkit_3P,medkit,Medkit,Consumable,T1,0.30x0.10x0.20,5000,1000,512 set,Greybox built,,
SK_EQP_SuppressantInjector_1P + SM_EQP_SuppressantInjector_3P,suppressant,Suppressant Injector,Consumable,T0,0.15x0.03x0.03,3000,500,512 set,Greybox built,,Auto-injector pen; the injection animation into the forearm is iconic (first seen M0.02).
SK_EQP_AntiviralCocktail_1P + SM_EQP_AntiviralCocktail_3P,antiviral,Antiviral Cocktail,Consumable,T2,0.15x0.03x0.03,3000,500,512 set,Greybox built,,
SK_EQP_NullSerum_1P + SM_EQP_NullSerum_3P,null_serum,Null Serum,Consumable,T3,0.15x0.03x0.03,3000,500,512 set,Greybox built,,Made with Lily's consent; label hand-written by Mara.
SK_EQP_LoomSerum_1P + SM_EQP_LoomSerum_3P,loom_serum,Loom Serum,Consumable,T4,0.15x0.03x0.03,4000,600,512 set,Greybox built,,
SK_EQP_RationCan_1P + SM_EQP_RationCan_3P,ration_can,Ration Can,Consumable,T0,0.08x0.11x0.08,1500,300,512 set,Greybox built,,
SK_EQP_WaterBottle_1P + SM_EQP_WaterBottle_3P,water_bottle,Water Bottle,Consumable,T0,0.07x0.22x0.07,1500,300,512 set,Greybox built,,Refillable; clean/dirty fill states.
SK_EQP_O2Bottle_1P + SM_EQP_O2Bottle_3P,o2_bottle,O₂ Bottle,Consumable,T1,0.12x0.45x0.12,3000,600,512 set,Greybox built,,
SK_EQP_H2Bottle_1P + SM_EQP_H2Bottle_3P,h2_bottle,H₂ Bottle,Consumable,T2,0.12x0.45x0.12,3000,600,512 set,Greybox built,,
SK_SUIT_WorkCoveralls,suit_coveralls,Work Coveralls,Suit,T0,0.60x1.80x0.35,,30000,2K body set,Greybox built,,Kestrel ground-crew coveralls with name tape 'WRENCH'. Unisex body with morph targets.
SK_SUIT_HazmatSuit,suit_hazmat,Hazmat Suit,Suit,T1,0.65x1.85x0.40,,40000,2K body set,Greybox built,,Yellow CBRN suit with a clear hood (refraction + condensation).
SK_SUIT_EVASuit,suit_eva,EVA Suit,Suit,T2,0.75x1.90x0.50,,55000,4K body set,Greybox built,,Kestrel white-and-orange; mag-boots integrated.
SK_SUIT_EngineerHardsuit,suit_hardsuit,Engineer Hardsuit,Suit,T3,0.80x1.95x0.55,,65000,4K body set,Greybox built,,Armored plates over the EVA undersuit; tool-mount shoulder.
SK_SUIT_SowerWovenSuit,suit_sower,Sower-Woven Suit,Suit,T4,0.75x1.95x0.50,,60000,4K body set,Greybox built,,Grown over the Hardsuit: shell plates and filament weave.
SM_EQP_JetpackModule,mod_jetpack,Jetpack Module,Suit Module,T2,0.45x0.60x0.25,,12000,2K set,Greybox built,,
SM_EQP_ExtendedO2Tank,mod_o2_tank,Extended O₂ Tank,Suit Module,T2,0.30x0.50x0.20,,4000,1K set,Greybox built,,
SM_EQP_ArmorPlates,mod_armor,Armor Plates,Suit Module,T2,0.50x0.60x0.30,,8000,1K set,Greybox built,,
SM_EQP_SporeFilter,mod_spore_filter,Spore Filter,Suit Module,T1,0.20x0.15x0.15,,3000,1K set,Greybox built,,
SM_EQP_ThermalLining,mod_thermal,Thermal Lining,Suit Module,T2,0.10x0.10x0.10,,500,512 set,Greybox built,,Mostly a material swap on the undersuit (emissive heating lines).
SM_EQP_ScannerBooster,mod_scanner,Scanner Booster,Suit Module,T2,0.15x0.25x0.10,,3000,1K set,Greybox built,,
SM_EQP_StealthDampers,mod_stealth,Stealth Dampers,Suit Module,T3,0.20x0.20x0.15,,3000,1K set,Greybox built,,
SK_EQP_ConstructionDrone,drone_construction,Construction Drone,Drone,T2,0.80x0.40x0.80,,12000,2K set,Greybox built,,
SK_EQP_MiningDrone,drone_mining,Mining Drone,Drone,T2,1.00x0.50x1.00,,12000,2K set,Greybox built,,
SK_EQP_DefenseDrone,drone_defense,Defense Drone,Drone,T3,0.70x0.35x0.70,,12000,2K set,Greybox built,,
SK_EQP_ScoutDrone,drone_scout,Scout Drone,Drone,T2,0.40x0.15x0.40,,8000,1K set,Greybox built,,
