asset,part_id,registry_id,part_name,variant,category,group,grid,size_cells_WxHxD,dims_m_WxHxD,tier,art_set,complexity,mass_kg,hp,power_kw,recipe,lod0_tris,lod1_tris,lod2_tris,lod3_tris,build_stages,collision_max_hulls,texture_strategy,texel_density_px_m,mount_faces,airtight_faces,sockets,moving_parts,emissive,debris_set,blend_path,export_path,status,owner,notes
SM_STR_ArmorCorner_Heavy_SG,STR-003,block.structure.armor_corner,Armor Corner,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,20,43,0,steel_plate:1; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorCorner_Heavy_SG.fbx,Not started,,Tetrahedron filling one corner. Pairs with Slope; the three open edges need 2 mm bevel continuity. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner_Light_LG,STR-004,block.structure.armor_inverted_corner,Armor Inverted Corner,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,415,1245,0,steel_plate:21,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorInvertedCorner_Light_LG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner_Light_LG.fbx,Not started,,Cube with one corner cut by a plane through three adjacent vertices. Used to close Slope junctions. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner_Light_SG,STR-004,block.structure.armor_inverted_corner,Armor Inverted Corner,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,17,50,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorInvertedCorner_Light_SG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner_Light_SG.fbx,Not started,,Cube with one corner cut by a plane through three adjacent vertices. Used to close Slope junctions. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner_Heavy_LG,STR-004,block.structure.armor_inverted_corner,Armor Inverted Corner,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,2739,5391,0,steel_plate:124; metal_grid:42,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorInvertedCorner_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner_Heavy_LG.fbx,Not started,,Cube with one corner cut by a plane through three adjacent vertices. Used to close Slope junctions. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner_Heavy_SG,STR-004,block.structure.armor_inverted_corner,Armor Inverted Corner,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,112,216,0,steel_plate:4; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorInvertedCorner_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner_Heavy_SG.fbx,Not started,,Cube with one corner cut by a plane through three adjacent vertices. Used to close Slope junctions. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorHalfBlock_Light_LG,STR-005,block.structure.armor_half_block,Armor Half Block,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,250,750,0,steel_plate:12,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorHalfBlock_Light_LG.blend,export/parts/structure/SM_STR_ArmorHalfBlock_Light_LG.fbx,Not started,,"Bottom half of the cell (0–50% height). Top face gets the full-panel trim, not a cut edge. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh."
SM_STR_ArmorHalfBlock_Light_SG,STR-005,block.structure.armor_half_block,Armor Half Block,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,10,30,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorHalfBlock_Light_SG.blend,export/parts/structure/SM_STR_ArmorHalfBlock_Light_SG.fbx,Not started,,"Bottom half of the cell (0–50% height). Top face gets the full-panel trim, not a cut edge. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh."
SM_STR_ArmorHalfBlock_Heavy_LG,STR-005,block.structure.armor_half_block,Armor Half Block,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,1650,3248,0,steel_plate:75; metal_grid:25,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorHalfBlock_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorHalfBlock_Heavy_LG.fbx,Not started,,"Bottom half of the cell (0–50% height). Top face gets the full-panel trim, not a cut edge. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh."
SM_STR_ArmorHalfBlock_Heavy_SG,STR-005,block.structure.armor_half_block,Armor Half Block,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,66,130,0,steel_plate:2; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorHalfBlock_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorHalfBlock_Heavy_SG.fbx,Not started,,"Bottom half of the cell (0–50% height). Top face gets the full-panel trim, not a cut edge. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh."
SM_STR_ArmorSlope2x1Base_Light_LG,STR-006,block.structure.armor_slope_2x1_base,Armor Slope 2×1 Base,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,375,1125,0,steel_plate:19,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope2x1Base_Light_LG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Base_Light_LG.fbx,Not started,,Lower half of a 2-cell-long 26.6° slope (rises 0.5 cell over 1). Front edge sits at 50% height to meet the Tip. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Base_Light_SG,STR-006,block.structure.armor_slope_2x1_base,Armor Slope 2×1 Base,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,15,45,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope2x1Base_Light_SG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Base_Light_SG.fbx,Not started,,Lower half of a 2-cell-long 26.6° slope (rises 0.5 cell over 1). Front edge sits at 50% height to meet the Tip. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Base_Heavy_LG,STR-006,block.structure.armor_slope_2x1_base,Armor Slope 2×1 Base,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,2475,4871,0,steel_plate:112; metal_grid:38,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope2x1Base_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Base_Heavy_LG.fbx,Not started,,Lower half of a 2-cell-long 26.6° slope (rises 0.5 cell over 1). Front edge sits at 50% height to meet the Tip. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Base_Heavy_SG,STR-006,block.structure.armor_slope_2x1_base,Armor Slope 2×1 Base,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,99,195,0,steel_plate:4; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope2x1Base_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Base_Heavy_SG.fbx,Not started,,Lower half of a 2-cell-long 26.6° slope (rises 0.5 cell over 1). Front edge sits at 50% height to meet the Tip. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Tip_Light_LG,STR-007,block.structure.armor_slope_2x1_tip,Armor Slope 2×1 Tip,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,125,375,0,steel_plate:6,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope2x1Tip_Light_LG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Tip_Light_LG.fbx,Not started,,Upper half of the 2×1 slope; rises from 0 to 50% height. Must meet the Base with zero gap. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Tip_Light_SG,STR-007,block.structure.armor_slope_2x1_tip,Armor Slope 2×1 Tip,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,5.0,15,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope2x1Tip_Light_SG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Tip_Light_SG.fbx,Not started,,Upper half of the 2×1 slope; rises from 0 to 50% height. Must meet the Base with zero gap. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Tip_Heavy_LG,STR-007,block.structure.armor_slope_2x1_tip,Armor Slope 2×1 Tip,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,825,1624,0,steel_plate:38; metal_grid:12,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope2x1Tip_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Tip_Heavy_LG.fbx,Not started,,Upper half of the 2×1 slope; rises from 0 to 50% height. Must meet the Base with zero gap. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope2x1Tip_Heavy_SG,STR-007,block.structure.armor_slope_2x1_tip,Armor Slope 2×1 Tip,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,33,65,0,steel_plate:1; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope2x1Tip_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorSlope2x1Tip_Heavy_SG.fbx,Not started,,Upper half of the 2×1 slope; rises from 0 to 50% height. Must meet the Base with zero gap. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Base_Light_LG,STR-008,block.structure.armor_corner_2x1_base,Armor Corner 2×1 Base,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,165,495,0,steel_plate:8,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner2x1Base_Light_LG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Base_Light_LG.fbx,Not started,,Corner piece for 2×1 slopes (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Base_Light_SG,STR-008,block.structure.armor_corner_2x1_base,Armor Corner 2×1 Base,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,7.0,20,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner2x1Base_Light_SG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Base_Light_SG.fbx,Not started,,Corner piece for 2×1 slopes (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Base_Heavy_LG,STR-008,block.structure.armor_corner_2x1_base,Armor Corner 2×1 Base,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,1089,2143,0,steel_plate:50; metal_grid:16,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner2x1Base_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Base_Heavy_LG.fbx,Not started,,Corner piece for 2×1 slopes (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Base_Heavy_SG,STR-008,block.structure.armor_corner_2x1_base,Armor Corner 2×1 Base,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,46,87,0,steel_plate:2; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner2x1Base_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Base_Heavy_SG.fbx,Not started,,Corner piece for 2×1 slopes (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Tip_Light_LG,STR-009,block.structure.armor_corner_2x1_tip,Armor Corner 2×1 Tip,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,40,120,0,steel_plate:2,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner2x1Tip_Light_LG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Tip_Light_LG.fbx,Not started,,Corner piece for 2×1 slopes (tip half). Tiny: keep it under 60% of the Simple budget. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Tip_Light_SG,STR-009,block.structure.armor_corner_2x1_tip,Armor Corner 2×1 Tip,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,2.0,5,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner2x1Tip_Light_SG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Tip_Light_SG.fbx,Not started,,Corner piece for 2×1 slopes (tip half). Tiny: keep it under 60% of the Simple budget. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Tip_Heavy_LG,STR-009,block.structure.armor_corner_2x1_tip,Armor Corner 2×1 Tip,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,264,520,0,steel_plate:12; metal_grid:4,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner2x1Tip_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Tip_Heavy_LG.fbx,Not started,,Corner piece for 2×1 slopes (tip half). Tiny: keep it under 60% of the Simple budget. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner2x1Tip_Heavy_SG,STR-009,block.structure.armor_corner_2x1_tip,Armor Corner 2×1 Tip,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,13,22,0,steel_plate:1; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner2x1Tip_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorCorner2x1Tip_Heavy_SG.fbx,Not started,,Corner piece for 2×1 slopes (tip half). Tiny: keep it under 60% of the Simple budget. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Base_Light_LG,STR-010,block.structure.armor_inverted_corner_2x1_base,Armor Inverted Corner 2×1 Base,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,460,1380,0,steel_plate:23,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Light_LG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Light_LG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Base_Light_SG,STR-010,block.structure.armor_inverted_corner_2x1_base,Armor Inverted Corner 2×1 Base,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,18,55,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Light_SG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Light_SG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Base_Heavy_LG,STR-010,block.structure.armor_inverted_corner_2x1_base,Armor Inverted Corner 2×1 Base,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,3036,5975,0,steel_plate:138; metal_grid:46,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Heavy_LG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Base_Heavy_SG,STR-010,block.structure.armor_inverted_corner_2x1_base,Armor Inverted Corner 2×1 Base,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,119,238,0,steel_plate:5; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Base_Heavy_SG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (base half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Tip_Light_LG,STR-011,block.structure.armor_inverted_corner_2x1_tip,Armor Inverted Corner 2×1 Tip,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,290,870,0,steel_plate:14,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Tip_Light_LG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Tip_Light_LG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (tip half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorInvertedCorner2x1Tip_Light_SG,STR-011,block.structure.armor_inverted_corner_2x1_tip,Armor Inverted Corner 2×1 Tip,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,12,35,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorInvertedCorner2x1Tip_Light_SG.blend,export/parts/structure/SM_STR_ArmorInvertedCorner2x1Tip_Light_SG.fbx,Not started,,Inverted corner matching the 2×1 slope angle (tip half). Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
