asset,count,character_id,character,group,type,contents,tier,skeleton,size,lod0_tris,lod1_tris,lod2_tris,lod3_tris,textures,facial_set,facial_capture,blend_path,status,owner,notes
SK_CHR_AdaOkafor_Outfit_CombatEVA,1,CST-001,Ada Okafor,CST,Outfit,Directorate Combat EVA,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Outfit_CombatEVA.blend,Greybox built,,"M2.07, M3.05"
SK_CHR_AdaOkafor_Outfit_OffDuty,1,CST-001,Ada Okafor,CST,Outfit,Off-Duty Uniform,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Outfit_OffDuty.blend,Greybox built,,M3.07 (Meridian)
SK_CHR_AdaOkafor_Outfit_Defector,1,CST-001,Ada Okafor,CST,Outfit,Defector Flight Suit,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Outfit_Defector.blend,Greybox built,,M3.08–Act IV (if defected)
SK_CHR_AdaOkafor_Outfit_SeraphPilot,1,CST-001,Ada Okafor,CST,Outfit,Seraph Exo-frame Pilot,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Outfit_SeraphPilot.blend,Greybox built,,M4.03 (if loyal)
SK_CHR_AdaOkafor_Hair_BunTight,1,CST-001,Ada Okafor,CST,Hair,Tight bun (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Hair_BunTight.blend,Greybox built,,
SK_CHR_AdaOkafor_Hair_BunFrayed,1,CST-001,Ada Okafor,CST,Hair,Frayed bun (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Hair_BunFrayed.blend,Greybox built,,
SK_CHR_AdaOkafor_Hair_HalfDown,1,CST-001,Ada Okafor,CST,Hair,Half down (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Hair_HalfDown.blend,Greybox built,,
SK_CHR_TugBrennan,1,CST-002,"Tobias ""Tug"" Brennan",CST,Base,Base body + head (default outfit and hair for budget checks),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,110000,55000,22000,6600,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_TugBrennan_Outfit_MechanicCoveralls,1,CST-002,"Tobias ""Tug"" Brennan",CST,Outfit,Mechanic Coveralls,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan_Outfit_MechanicCoveralls.blend,Greybox built,,Prologue–Act I
SK_CHR_TugBrennan_Outfit_StationJumpsuit,1,CST-002,"Tobias ""Tug"" Brennan",CST,Outfit,Station Jumpsuit,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan_Outfit_StationJumpsuit.blend,Greybox built,,Act II
SK_CHR_TugBrennan_Outfit_ChiefEngineer,1,CST-002,"Tobias ""Tug"" Brennan",CST,Outfit,Chief Engineer Rig,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan_Outfit_ChiefEngineer.blend,Greybox built,,Acts III–IV
SK_CHR_TugBrennan_Hair_CapFringe,1,CST-002,"Tobias ""Tug"" Brennan",CST,Hair,Fringe under cap (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan_Hair_CapFringe.blend,Greybox built,,
SK_CHR_TugBrennan_Hair_Beard,1,CST-002,"Tobias ""Tug"" Brennan",CST,Hair,Full beard (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, broad / heavy",1.88 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_TugBrennan_Hair_Beard.blend,Greybox built,,
SK_CHR_LilyChen,1,CST-003,Lily Chen,CST,Base,Base body + head (default outfit and hair for budget checks),Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,160000,80000,32000,9600,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_LilyChen_Outfit_School,1,CST-003,Lily Chen,CST,Outfit,School Clothes & Hoodie,Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Outfit_School.blend,Greybox built,,Act I
SK_CHR_LilyChen_Outfit_StationKid,1,CST-003,Lily Chen,CST,Outfit,Station Kid,Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Outfit_StationKid.blend,Greybox built,,Act II
SK_CHR_LilyChen_Outfit_KidEVA,1,CST-003,Lily Chen,CST,Outfit,Tug-Built Kid EVA Suit,Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Outfit_KidEVA.blend,Greybox built,,Acts III–IV
SK_CHR_LilyChen_Outfit_PrisonerGown,1,CST-003,Lily Chen,CST,Outfit,Meridian Prisoner Gown,Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Outfit_PrisonerGown.blend,Greybox built,,M3.07
SK_CHR_LilyChen_Hair_BobUneven,1,CST-003,Lily Chen,CST,Hair,Uneven bob (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Hair_BobUneven.blend,Greybox built,,
SK_CHR_LilyChen_Hair_SelfCut,1,CST-003,Lily Chen,CST,Hair,Self-cut short (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), child (8–12)",1.45 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChen_Hair_SelfCut.blend,Greybox built,,
SK_CHR_LilyChenAdult,1,CST-004,Lily Chen (Adult),CST,Base,Base body + head (default outfit and hair for budget checks),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.66 m tall,160000,80000,32000,9600,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChenAdult.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_LilyChenAdult_Outfit_LeaderCoat,1,CST-004,Lily Chen (Adult),CST,Outfit,Leader's Coat,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.66 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChenAdult_Outfit_LeaderCoat.blend,Greybox built,,Legacy
SK_CHR_LilyChenAdult_Hair_UndercutLong,1,CST-004,Lily Chen (Adult),CST,Hair,"Undercut, long top (cards)",Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.66 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChenAdult_Hair_UndercutLong.blend,Greybox built,,
SK_CHR_LilyChenAdult_Arms1P_LeaderCoat,1,CST-004,Lily Chen (Adult),CST,1P arms,First-person arms — Leader's Coat,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.66 m tall,25000,12500,5000,1500,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_LilyChenAdult_Arms1P_LeaderCoat.blend,Greybox built,,
SK_CHR_MaraVoss,1,CST-005,Dr. Mara Voss,CST,Base,Base body + head (default outfit and hair for budget checks),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,110000,55000,22000,6600,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_MaraVoss_Outfit_BSL4Suit,1,CST-005,Dr. Mara Voss,CST,Outfit,Torn BSL-4 Suit,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Outfit_BSL4Suit.blend,Greybox built,,M1.04
SK_CHR_MaraVoss_Outfit_LabWear,1,CST-005,Dr. Mara Voss,CST,Outfit,Station Lab Wear,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Outfit_LabWear.blend,Greybox built,,Act II
SK_CHR_MaraVoss_Outfit_FieldResearcher,1,CST-005,Dr. Mara Voss,CST,Outfit,Field Researcher,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Outfit_FieldResearcher.blend,Greybox built,,Act III
SK_CHR_MaraVoss_Outfit_Frail,1,CST-005,Dr. Mara Voss,CST,Outfit,Frail (post-treatment),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Outfit_Frail.blend,Greybox built,,M3.06+ (Lily's-blood treatment)
SK_CHR_MaraVoss_Outfit_Cryo,1,CST-005,Dr. Mara Voss,CST,Outfit,Cryo Stasis,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Outfit_Cryo.blend,Greybox built,,M3.06+ (cryo option)
SK_CHR_MaraVoss_Hair_ShortStreak,1,CST-005,Dr. Mara Voss,CST,Hair,Short with silver streak (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.68 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_MaraVoss_Hair_ShortStreak.blend,Greybox built,,
SK_CHR_IdrisKaan,1,CST-006,Sgt. Idris Kaan,CST,Base,Base body + head (default outfit and hair for budget checks),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,110000,55000,22000,6600,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_IdrisKaan_Outfit_Wounded,1,CST-006,Sgt. Idris Kaan,CST,Outfit,Wounded Trooper,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan_Outfit_Wounded.blend,Greybox built,,M1.03
SK_CHR_IdrisKaan_Outfit_ScratchedArmor,1,CST-006,Sgt. Idris Kaan,CST,Outfit,Scratched Directorate Armor,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan_Outfit_ScratchedArmor.blend,Greybox built,,Acts I–II
SK_CHR_IdrisKaan_Outfit_GuardCaptain,1,CST-006,Sgt. Idris Kaan,CST,Outfit,Guard Captain,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan_Outfit_GuardCaptain.blend,Greybox built,,Acts III–IV
SK_CHR_IdrisKaan_Hair_Crop,1,CST-006,Sgt. Idris Kaan,CST,Hair,Close crop (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan_Hair_Crop.blend,Greybox built,,
SK_CHR_IdrisKaan_Hair_Stubble,1,CST-006,Sgt. Idris Kaan,CST,Hair,Stubble (shells),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.83 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_IdrisKaan_Hair_Stubble.blend,Greybox built,,
SK_CHR_Kestrel,1,CST-007,KESTREL,CST,Base,Base body + head (default outfit and hair for budget checks),Hologram,EXO_Hologram,1.20 m,20000,10000,4000,1200,Emissive line atlas 1K · noise mask 512,none,no,assets/characters/story-cast/SK_CHR_Kestrel.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_Kestrel_Presence,1,CST-007,KESTREL,CST,Variant,Form 2 — the kestrel head of light lines (holo tables),Hologram,EXO_Hologram,1.20 m,20000,10000,4000,1200,Emissive line atlas 1K · noise mask 512,none,no,assets/characters/story-cast/SK_CHR_Kestrel_Presence.blend,Greybox built,,
SK_CHR_Kestrel_Mind,1,CST-007,KESTREL,CST,Variant,Form 3 — the humanoid light figure in the Loom (blend shape from Presence),Hologram,EXO_Hologram,1.20 m,20000,10000,4000,1200,Emissive line atlas 1K · noise mask 512,none,no,assets/characters/story-cast/SK_CHR_Kestrel_Mind.blend,Greybox built,,
SK_CHR_Kestrel_Seed,1,CST-007,KESTREL,CST,Variant,"The small, childlike KESTREL's Seed from the endings",Hologram,EXO_Hologram,1.20 m,20000,10000,4000,1200,Emissive line atlas 1K · noise mask 512,none,no,assets/characters/story-cast/SK_CHR_Kestrel_Seed.blend,Greybox built,,
SK_CHR_OyeAdeyemi,1,CST-008,"Captain Oyelaran ""Oye"" Adeyemi",CST,Base,Base body + head (default outfit and hair for budget checks),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.80 m tall,110000,55000,22000,6600,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_OyeAdeyemi.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_OyeAdeyemi_Outfit_CaptainCoat,1,CST-008,"Captain Oyelaran ""Oye"" Adeyemi",CST,Outfit,Captain's Coat,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.80 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_OyeAdeyemi_Outfit_CaptainCoat.blend,Greybox built,,Act III–IV
SK_CHR_OyeAdeyemi_Outfit_HaulerEVA,1,CST-008,"Captain Oyelaran ""Oye"" Adeyemi",CST,Outfit,Patched Hauler EVA,Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.80 m tall,50000,25000,10000,3000,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_OyeAdeyemi_Outfit_HaulerEVA.blend,Greybox built,,Act III–IV (EVA)
SK_CHR_OyeAdeyemi_Hair_Beard,1,CST-008,"Captain Oyelaran ""Oye"" Adeyemi",CST,Hair,Short beard (cards),Main,"EXO_Humanoid (UE5 mannequin-compatible), adult, average build",1.80 m tall,30000,15000,6000,1800,Head 4K (BC/N/ORM/SSS + 1 wrinkle normal) · Body 4K · Outfit 4K · Hair 2K · Eyes 1K,main,yes,assets/characters/story-cast/SK_CHR_OyeAdeyemi_Hair_Beard.blend,Greybox built,,
SK_CHR_HalvardCrane,1,CST-009,Director Halvard Crane,CST,Base,Base body + head (default outfit and hair for budget checks),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.86 m tall,160000,80000,32000,9600,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_HalvardCrane.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_HalvardCrane_Outfit_WhiteSuit,1,CST-009,Director Halvard Crane,CST,Outfit,White Suit,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, slim",1.86 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_HalvardCrane_Outfit_WhiteSuit.blend,Greybox built,,"Cold open, broadcasts"
