asset,kit,piece,size_m_WxDxH,pivot,lod0_tris,art_set,status,owner,notes
SM_KIT_HAV_Node6Way,KIT-HAV,Node 6-way,6x6x6,center,3500,IND,Not started,,
SM_KIT_HAV_HatchRing,KIT-HAV,Hatch Ring,5x0.6x5,center,1200,IND,Not started,,
SM_KIT_HAV_HullPlate25,KIT-HAV,Hull Plate 2.5,2.5x2.5x0.2,corner,200,IND,Not started,,
SM_KIT_HAV_Truss10M,KIT-HAV,Truss 10 m,1.5x10x1.5,center,900,IND,Not started,,
SM_KIT_HAV_SolarWing20,KIT-HAV,Solar Wing 20,20x6x0.3,center,1500,IND,Not started,,
SM_KIT_HAV_ObservationCupola,KIT-HAV,Observation Cupola,6x6x4,bottom-center,3000,IND,Not started,,
SM_KIT_HAV_InteriorRackWall,KIT-HAV,Interior Rack Wall,5x0.6x2.5,corner,1500,IND,Not started,,
SM_KIT_DIR_Corridor5M,KIT-DIR,Corridor 5 m,4x5x3.5,bottom-center,1500,DIR,Not started,,
SM_KIT_DIR_CorridorCorner,KIT-DIR,Corridor Corner,4x4x3.5,bottom-center,1800,DIR,Not started,,
SM_KIT_DIR_LabWall5,KIT-DIR,Lab Wall 5,5x0.4x3.5,corner,900,DIR,Not started,,
SM_KIT_DIR_HoloWall,KIT-DIR,Holo Wall,5x0.3x3.5,corner,800,DIR,Not started,,Emissive
SM_KIT_DIR_NullCarrierPod,KIT-DIR,Null-carrier Pod,1.5x1.5x2.4,bottom-center,2500,DIR,Not started,,
SM_KIT_DIR_CheckpointGate,KIT-DIR,Checkpoint Gate,4x2x3,bottom-center,2000,DIR,Not started,,
SM_KIT_DIR_PrefabBarracks15,KIT-DIR,Prefab Barracks 15,15x8x4,corner,3000,DIR,Not started,,
SM_KIT_HAU_Container12M,KIT-HAU,Container 12 m,2.5x12x2.6,corner,500,HAU,Not started,,
SM_KIT_HAU_ContainerStackX3,KIT-HAU,Container Stack ×3,2.5x12x7.8,corner,1300,HAU,Not started,,
SM_KIT_HAU_CatwalkBridge10,KIT-HAU,Catwalk Bridge 10,2x10x1.2,corner,900,HAU,Not started,,
SM_KIT_HAU_MarketStall,KIT-HAU,Market Stall,4x3x3,corner,2000,HAU,Not started,,
SM_KIT_HAU_RockCavernWall20,KIT-HAU,Rock Cavern Wall 20,20x5x15,corner,4000,HAU,Not started,,
SM_KIT_HAU_NeonSign,KIT-HAU,Neon Sign,6x0.3x2,bottom-center,800,HAU,Not started,,
SM_KIT_SOW_RibArch5,KIT-SOW,Rib Arch 5,5x2x6,bottom-center,2500,SOW,Not started,,
SM_KIT_SOW_CoralWall5,KIT-SOW,Coral Wall 5,5x1.5x5,corner,3000,SOW,Not started,,
SM_KIT_SOW_GlyphDoor,KIT-SOW,Glyph Door,4x1x5,bottom-center,3000,SOW,Not started,,Iris; emissive
SM_KIT_SOW_BreathingFloor5,KIT-SOW,Breathing Floor 5,5x5x0.5,corner,1500,SOW,Not started,,Vertex-animated
SM_KIT_SOW_ShellPillar,KIT-SOW,Shell Pillar,1.5x1.5x8,bottom-center,2000,SOW,Not started,,
SM_KIT_SOW_FilamentBridge10,KIT-SOW,Filament Bridge 10,2.5x10x1,bottom-center,2500,SOW,Not started,,
SM_KIT_SEE_RootCorridor10,KIT-SEE,Root Corridor 10,6x10x6,bottom-center,3500,SOW,Not started,,
SM_KIT_SEE_PetalWall,KIT-SEE,Petal Wall,8x2x10,bottom-center,3000,SOW,Not started,,
SM_KIT_SEE_PetalGate,KIT-SEE,Petal-gate,30x10x40,bottom-center,12000,SOW,Not started,,
SM_KIT_SEE_LivingBridge20,KIT-SEE,Living Bridge 20,3x20x2,bottom-center,3000,SOW,Not started,,
SM_KIT_SEE_HeartChamberShell,KIT-SEE,Heart Chamber Shell,40x40x30,bottom-center,20000,SOW,Not started,,
SM_KIT_ICE_IceTunnel10,KIT-ICE,Ice Tunnel 10,5x10x5,bottom-center,2000,SOW,Not started,,
SM_KIT_ICE_IceChamber,KIT-ICE,Ice Chamber,20x20x12,bottom-center,5000,SOW,Not started,,
SM_KIT_ICE_CandleAlcove,KIT-ICE,Candle Alcove,2x1x2.5,corner,1200,SOW,Not started,,
SM_KIT_ICE_CathedralButtress,KIT-ICE,Cathedral Buttress,4x10x25,corner,5000,SOW,Not started,,
SM_KIT_ICE_CrevasseBridge,KIT-ICE,Crevasse Bridge,3x15x1,bottom-center,1500,SOW,Not started,,
SM_KIT_DST_RockClusterS,KIT-DST,Rock Cluster S,3x3x2,bottom-center,1500,IND,Not started,,
SM_KIT_DST_RockClusterL,KIT-DST,Rock Cluster L,12x10x8,bottom-center,4000,IND,Not started,,
SM_KIT_DST_MesaCliff50,KIT-DST,Mesa Cliff 50,50x20x40,bottom-center,8000,IND,Not started,,
SM_KIT_DST_DryWashBank20,KIT-DST,Dry Wash Bank 20,20x5x3,corner,1500,IND,Not started,,
SM_KIT_DST_JoshuaTree,KIT-DST,Joshua Tree,4x4x6,bottom-center,2500,IND,Not started,,
SM_KIT_DST_SagebrushPatch,KIT-DST,Sagebrush Patch,3x3x0.8,bottom-center,800,IND,Not started,,
SM_KIT_DST_HighwayBarrier5,KIT-DST,Highway Barrier 5,5x0.6x0.9,corner,300,IND,Not started,,
SM_KIT_JUN_GiantRootArch,KIT-JUN,Giant Root Arch,15x5x12,bottom-center,5000,SOW,Not started,,
SM_KIT_JUN_VioletTree,KIT-JUN,Violet Tree,6x6x25,bottom-center,6000,SOW,Not started,,
SM_KIT_JUN_FernCluster,KIT-JUN,Fern Cluster,3x3x1.5,bottom-center,1500,SOW,Not started,,
SM_KIT_JUN_BioluminescentPodCluster,KIT-JUN,Bioluminescent Pod Cluster,2x2x1.5,bottom-center,1200,SOW,Not started,,
SM_KIT_JUN_CoastalRock,KIT-JUN,Coastal Rock,8x6x5,bottom-center,3000,SOW,Not started,,
SM_KIT_BLM_BloomVeinDecalSet,KIT-BLM,Bloom Vein Decal Set,4x4x0.05,center,300,SOW,Not started,,Mesh decals
SM_KIT_BLM_BloomGrowthS,KIT-BLM,Bloom Growth S,1x1x1,bottom-center,800,SOW,Not started,,
SM_KIT_BLM_BloomGrowthL,KIT-BLM,Bloom Growth L,4x4x3,bottom-center,3000,SOW,Not started,,
SM_KIT_BLM_BloomRootTendril5,KIT-BLM,Bloom Root Tendril 5,0.6x5x0.6,corner,1200,SOW,Not started,,
SM_KIT_BLM_BloomHeartCore,KIT-BLM,Bloom Heart Core,20x20x25,bottom-center,15000,SOW,Not started,,
SM_KIT_BLM_BloomRootNode,KIT-BLM,Bloom Root Node,6x6x5,bottom-center,4000,SOW,Not started,,
SM_KIT_BLM_SporeChimney,KIT-BLM,Spore Chimney,2x2x6,bottom-center,2000,SOW,Not started,,Emissive vent
