asset,level_id,name,group,type,act,missions,size_m_WxDxH,spaces,kits,required_markers,blockout_tris_budget,budget_per,memory_mb,blend_path,status,owner,notes
LVL_KES_002_Hangar4,KES-002,Hangar 4,KES,Hub,Prologue–I,M0.01; M0.03 (end); M1.01; M1.06,60x40x20,6,KIT-KES KIT-BLM,PS_M0_01 TRG_M0_03_WeldDoors CAM_C03_Roof HS_M1_06_North HS_M1_06_East,300000,level,600,assets/levels/kestrel-complex-and-township/LVL_KES_002_Hangar4.blend,Not started,,
LVL_KES_003_ServiceCorridors,KES-003,Service Corridors,KES,Interior,Prologue,M0.02,120x40x6,5,KIT-KES,PS_M0_02 SP_DanaMarsh TRG_M0_02_Scratch TRG_M0_02_Forklift,200000,level,400,assets/levels/kestrel-complex-and-township/LVL_KES_003_ServiceCorridors.blend,Not started,,
LVL_KES_004_TerminalB,KES-004,Terminal B,KES,Set Piece,Prologue,M0.03,180x60x18,5,KIT-TRM KIT-KES KIT-BLM,PS_M0_03 TRG_M0_03_Skywalk TRG_M0_03_FuelTruck CAM_M0_03_Skywalk,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_004_TerminalB.blend,Not started,,Detailed flow and beats: game bible 18 §18.1.
LVL_KES_005_Pad12,KES-005,Pad 12,KES,Set Piece,Prologue,M0.03,200x150x40,4,KIT-KES,PS_M0_03_Fence CAM_C02_Ramp TRG_M0_03_Standoff,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_005_Pad12.blend,Not started,,
LVL_KES_006_KestrelElementary,KES-006,Kestrel Elementary,KES,Interior,I,M1.02,70x50x10,7,KIT-TWN KIT-BLM,PS_M1_02 SP_MsAlvarez TRG_M1_02_Vents TRG_M1_02_FireAlarm CAM_M1_02_Gym,200000,level,400,assets/levels/kestrel-complex-and-township/LVL_KES_006_KestrelElementary.blend,Not started,,Flow: game bible 18 §18.2.
LVL_KES_007_ArkTransportCrashSite,KES-007,Ark Transport Crash Site,KES,Set Piece,I,M1.03,150x150x30,3,KIT-DIR KIT-DST,PS_M1_03 SP_Idris SP_SentinelDrone_01 SP_SentinelDrone_02,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_007_ArkTransportCrashSite.blend,Not started,,
LVL_KES_008_TheVault,KES-008,The Vault,KES,Dungeon,I,M1.04,90x90x24,5,KIT-KES KIT-DIR KIT-BLM,PS_M1_04 SP_Screamer_01 SP_BloomHeart_Vault CAM_C04_Coral VOL_Spores_SL3,250000,level,500,assets/levels/kestrel-complex-and-township/LVL_KES_008_TheVault.blend,Not started,,
LVL_KES_009_MissionControlTower,KES-009,Mission Control Tower,KES,Interior,I,M1.05 (Guidance Computer),40x40x60,4,KIT-KES,PS_M1_05_Tower POI_AdaRecording TRG_M1_05_Substations,200000,level,400,assets/levels/kestrel-complex-and-township/LVL_KES_009_MissionControlTower.blend,Not started,,
LVL_KES_010_FuelFarm,KES-010,Fuel Farm,KES,Set Piece,I,M1.05 (Fuel),300x200x25,4,KIT-KES KIT-DST,PS_M1_05_Fuel SP_Bloater_01 SP_Bloater_02 SP_Walt,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_010_FuelFarm.blend,Not started,,
LVL_KES_011_TownshipWarehouse,KES-011,Township Warehouse,KES,Interior,I,M1.05 (Heat Shield Tiles),120x110x12,3,KIT-TWN KIT-KES,PS_M1_05_Warehouse TRG_M1_05_Mule,200000,level,400,assets/levels/kestrel-complex-and-township/LVL_KES_011_TownshipWarehouse.blend,Not started,,
LVL_KES_012_CrashedArkShuttle,KES-012,Crashed Ark Shuttle,KES,Set Piece,I,M1.05 (Life Support),120x120x20,3,KIT-DIR KIT-DST,PS_M1_05_Shuttle SP_CleanupCrew_01 SP_SentinelDrone_03,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_012_CrashedArkShuttle.blend,Not started,,
LVL_KES_013_Pad39K,KES-013,Pad 39-K,KES,Set Piece,I,M1.06; M1.07,250x250x110,5,KIT-KES KIT-DST KIT-BLM,PS_M1_06 HS_M1_06_West HS_M1_06_South HS_M1_06_FuelLine TRG_M1_07_Launch CAM_C05_Glyph,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_013_Pad39K.blend,Not started,,Flows: game bible 18 §18.3–18.4.
LVL_ORB_001_LowEarthOrbit,ORB-001,Low Earth Orbit,ORB,Space Region,II+,,200000x200000x100000,3,KIT-HAV,PS_Orbit POI_StationRing,20000,cell,20,assets/levels/orbit-and-the-moon/LVL_ORB_001_LowEarthOrbit.blend,Not started,,Level origin is Earth's centre (Earth's surface at 60 km). Orbital space streams in 2 km cells. Earth's gravity at 25 km altitude is ~9% of surface gravity (falloff exponent 7).
LVL_ORB_002_Haven9Station,ORB-002,Haven-9 Station,ORB,Hub,II (and the colony's home until Act III),M2.01; M2.02; M2.03; M2.05; M2.06,120x80x30,13,KIT-HAV,PS_M2_01_Dock VOL_DockingBay_Main SPL_Approach_M2_01 TRG_M2_02_Power TRG_M2_02_O2 CAM_C06_Haven VOL_Pressure_AllModules,300000,level,600,assets/levels/orbit-and-the-moon/LVL_ORB_002_Haven9Station.blend,Not started,,"Every module is a 5 m-diameter pressurized cylinder from KIT-HAV, so the air/room graph matches the building system."
LVL_ORB_003_LunarNearSide,ORB-003,Lunar Near Side,ORB,Planet Region,II,M2.04,10000x10000x1200,3,KIT-MIN KIT-HAV,PS_M2_04_Landing LM_TychoRim VOL_LandingZone_Flats,40000,cell,40,assets/levels/orbit-and-the-moon/LVL_ORB_003_LunarNearSide.blend,Not started,,"Capped at 10 km (a quarter of the Moon's 40 km diameter): the 20 km-radius surface still drops ~625 m at the region's edges, so the stamp's curvature correction is large. Keep gameplay-critical geometry within 3 km of the centre."
LVL_ORB_004_TychoOutpost,ORB-004,Tycho Outpost,ORB,Interior,II,M2.04,120x90x25,4,KIT-MIN KIT-HAV KIT-BLM,PS_M2_04_Tycho POI_StyxArchive POI_He3Core,200000,level,400,assets/levels/orbit-and-the-moon/LVL_ORB_004_TychoOutpost.blend,Not started,,Flow: game bible 18 §18.5.
LVL_ORB_005_StyxWreck,ORB-005,Styx Wreck,ORB,Dungeon,II,M2.07,2200x900x900,4,KIT-SOW,PS_M2_07 SP_Ada CAM_C08_Map TRG_M2_07_JumpCore,250000,level,500,assets/levels/orbit-and-the-moon/LVL_ORB_005_StyxWreck.blend,Not started,,
LVL_DRF_001_TortugaDrift,DRF-001,Tortuga Drift,DRF,Hub,III,M3.02,1500x1500x600,5,KIT-HAU,PS_Tortuga_Dock VOL_DockingBay_Ring POI_ContractsBoard,300000,level,600,assets/levels/the-drift/LVL_DRF_001_TortugaDrift.blend,Not started,,
LVL_DRF_002_TheDustQueen,DRF-002,The Dust Queen,DRF,Dungeon,III,M3.02 (Oye's favor),180x60x40,3,KIT-HAU KIT-BLM,PS_DustQueen POI_FlightRecorder,250000,level,500,assets/levels/the-drift/LVL_DRF_002_TheDustQueen.blend,Not started,,
LVL_DRF_003_Veyra4JungleRegion,DRF-003,Veyra-4 Jungle Region,DRF,Planet Region,III,M3.03,16000x16000x2500,4,KIT-JUN KIT-SOW KIT-BLM,PS_M3_03_Landing LM_GardenEngine VOL_LandingZone_Coast,40000,cell,40,assets/levels/the-drift/LVL_DRF_003_Veyra4JungleRegion.blend,Not started,,
LVL_DRF_004_TheGardenEngine,DRF-004,The Garden Engine,DRF,Dungeon,III,M3.03,400x400x2000,4,KIT-SOW KIT-BLM,PS_M3_03_Engine CAM_C10_Memory TRG_M3_03_Choice,250000,level,500,assets/levels/the-drift/LVL_DRF_004_TheGardenEngine.blend,Not started,,
LVL_DRF_005_CathedralOfTheHum,DRF-005,Cathedral of the Hum,DRF,Hub,III,M3.04,300x700x80,5,KIT-ICE KIT-SOW,PS_M3_04_Approach SP_Sable CAM_C11_Archive,300000,level,600,assets/levels/the-drift/LVL_DRF_005_CathedralOfTheHum.blend,Not started,,
LVL_DRF_006_ArkMeridian,DRF-006,Ark Meridian,DRF,Dungeon,III,M3.07,600x300x120,6,KIT-DIR,PS_M3_07_Loud PS_M3_07_Quiet VOL_NoFly_Interior CAM_C13_GreatDying TRG_M3_07_Standoff,250000,level,500,assets/levels/the-drift/LVL_DRF_006_ArkMeridian.blend,Not started,,Flow: game bible 18 §18.7.
LVL_DRF_007_ConvergenceGate,DRF-007,Convergence Gate,DRF,Space Arena,III,M3.08,40000x40000x20000,3,KIT-SOW,PS_M3_08 CAM_C14_Anthesis TRG_M3_08_GateOpens,100000,level,300,assets/levels/the-drift/LVL_DRF_007_ConvergenceGate.blend,Not started,,
LVL_SEE_001_AnthesisApproach,SEE-001,Anthesis Approach,SEE,Space Arena,IV,M4.01,60000x60000x40000,3,KIT-SEE,PS_M4_01 TRG_M4_01_Breach TRG_M4_01_PointOfNoReturn SPL_Approach_M4_01,100000,level,300,assets/levels/the-seedship-anthesis/LVL_SEE_001_AnthesisApproach.blend,Not started,,The point of no return is marked with a clear prompt before this level loads.
LVL_SEE_002_TheLivingHalls,SEE-002,The Living Halls,SEE,Hub,IV,M4.02 (hub),800x800x300,7,KIT-SEE KIT-SOW,PS_M4_02_Hub,300000,level,600,assets/levels/the-seedship-anthesis/LVL_SEE_002_TheLivingHalls.blend,Not started,,
LVL_SEE_003_MemoryGarden1VeyraBefore,SEE-003,"Memory Garden 1 — Veyra, Before",SEE,Dungeon,IV,M4.02,1200x1200x400,2,KIT-JUN KIT-SEE,PS_Garden1 POI_MemoryCore1,250000,level,500,assets/levels/the-seedship-anthesis/LVL_SEE_003_MemoryGarden1VeyraBefore.blend,Not started,,
LVL_SEE_004_MemoryGarden2TheDrownedChoir,SEE-004,Memory Garden 2 — The Drowned Choir,SEE,Dungeon,IV,M4.02,1200x1200x600,3,KIT-SEE,PS_Garden2 POI_MemoryCore2,250000,level,500,assets/levels/the-seedship-anthesis/LVL_SEE_004_MemoryGarden2TheDrownedChoir.blend,Not started,,
LVL_SEE_005_MemoryGarden3TheFirstGarden,SEE-005,Memory Garden 3 — The First Garden,SEE,Dungeon,IV,M4.02,1000x1000x500,2,KIT-SOW KIT-SEE,PS_Garden3 POI_MemoryCore3,250000,level,500,assets/levels/the-seedship-anthesis/LVL_SEE_005_MemoryGarden3TheFirstGarden.blend,Not started,,
LVL_SEE_006_MemoryGarden4PermianEarth,SEE-006,Memory Garden 4 — Permian Earth,SEE,Dungeon,IV,M4.02,1500x1500x400,2,KIT-SEE KIT-BLM,PS_Garden4 CAM_C15_Sorry,250000,level,500,assets/levels/the-seedship-anthesis/LVL_SEE_006_MemoryGarden4PermianEarth.blend,Not started,,
LVL_SEE_007_TheLivingBridges,SEE-007,The Living Bridges,SEE,Set Piece,IV,M4.03,400x600x300,3,KIT-SEE,PS_M4_03 SP_AdaExoframe CAM_C16_Blood VOL_Kill_Chasm,150000,level,350,assets/levels/the-seedship-anthesis/LVL_SEE_007_TheLivingBridges.blend,Not started,,
LVL_SEE_008_TheLoomChamber,SEE-008,The Loom Chamber,SEE,Set Piece,IV,M4.04 (phases 1–2); M4.05,200x200x120,3,KIT-SEE KIT-SOW,PS_M4_04 SP_CraneDirector CAM_C17_Weaver TRG_M4_05_Choice,150000,level,350,assets/levels/the-seedship-anthesis/LVL_SEE_008_TheLoomChamber.blend,Not started,,
LVL_SEE_009_BonsaiMindSpace,SEE-009,Bonsai Mind-Space,SEE,Set Piece,IV,M4.04 (phase 3),600x600x500,3,KIT-SEE,PS_M4_04_Bonsai SP_CraneBonsai,150000,level,350,assets/levels/the-seedship-anthesis/LVL_SEE_009_BonsaiMindSpace.blend,Not started,,
LVL_SEE_010_TheLastSundayDinner,SEE-010,The Last Sunday Dinner,SEE,Set Piece,Epilogue,M4.06,30x20x6,1,KIT-HAV KIT-KES,PS_M4_06 CAM_C18_Sunday,150000,level,350,assets/levels/the-seedship-anthesis/LVL_SEE_010_TheLastSundayDinner.blend,Not started,,Procedurally staged: finds the player's largest mess hall with a Long Dining Table; falls back to a hand-built dining room on the ship.
LVL_PRC_001_DerelictShip,PRC-001,Derelict Ship,PRC,Procedural Template,II+ (open world),,140x50x30,2,KIT-HAU KIT-DIR KIT-BLM,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_001_DerelictShip.blend,Not started,,
LVL_PRC_002_CrashSite,PRC-002,Crash Site,PRC,Procedural Template,II+ (open world),,120x120x25,2,KIT-DIR KIT-HAU,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_002_CrashSite.blend,Not started,,
LVL_PRC_003_SurvivorCamp,PRC-003,Survivor Camp,PRC,Procedural Template,II+ (open world),,100x80x15,2,KIT-TWN KIT-HAU,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_003_SurvivorCamp.blend,Not started,,
LVL_PRC_004_BloomHeart,PRC-004,Bloom Heart,PRC,Procedural Template,II+ (open world),,80x80x40,3,KIT-BLM,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_004_BloomHeart.blend,Not started,,
LVL_PRC_005_SowerRuin,PRC-005,Sower Ruin,PRC,Procedural Template,II+ (open world),,120x120x60,3,KIT-SOW,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_005_SowerRuin.blend,Not started,,
LVL_PRC_006_DirectorateOutpost,PRC-006,Directorate Outpost,PRC,Procedural Template,II+ (open world),,150x120x25,3,KIT-DIR,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_006_DirectorateOutpost.blend,Not started,,
LVL_PRC_007_ChoirShrine,PRC-007,Choir Shrine,PRC,Procedural Template,II+ (open world),,60x60x20,1,KIT-ICE KIT-SOW,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_007_ChoirShrine.blend,Not started,,
LVL_PRC_008_HaulerWaystation,PRC-008,Hauler Waystation,PRC,Procedural Template,II+ (open world),,120x100x30,3,KIT-HAU,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_008_HaulerWaystation.blend,Not started,,
LVL_PRC_009_Anomaly,PRC-009,Anomaly,PRC,Procedural Template,II+ (open world),,200x200x100,1,KIT-SOW KIT-HAU,PS_POI_Entry POI_Main SP_Group_01,80000,level,120,assets/levels/procedural-templates/LVL_PRC_009_Anomaly.blend,Not started,,
LVL_PRC_010_Wonders,PRC-010,Wonders,PRC,Procedural Template,III+,,5000x5000x3000,5,KIT-SOW,POI_Wonder,80000,level,120,assets/levels/procedural-templates/LVL_PRC_010_Wonders.blend,Not started,,
LVL_PRC_011_EarthReturnsRegion,PRC-011,Earth Returns Region,PRC,Open Region,II+,,8000x8000x1500,3,KIT-TWN KIT-DST KIT-BLM,PS_Region_Entry,50000,cell,60,assets/levels/procedural-templates/LVL_PRC_011_EarthReturnsRegion.blend,Not started,,
LVL_PRC_012_PlayerBaseZones,PRC-012,Player Base Zones,PRC,Procedural Template,All,,400x400x120,3,KIT-KES,VOL_BaseSite VOL_NoBuild,80000,level,120,assets/levels/procedural-templates/LVL_PRC_012_PlayerBaseZones.blend,Not started,,
